city_name,date,pm2_5
NORTH BEND - NORTH BEND WAY,2013-03-07,2.7
NORTH BEND - NORTH BEND WAY,2013-03-08,6.3
NORTH BEND - NORTH BEND WAY,2013-03-09,10.9
NORTH BEND - NORTH BEND WAY,2013-03-10,8.2
NORTH BEND - NORTH BEND WAY,2013-03-11,8.4
NORTH BEND - NORTH BEND WAY,2013-03-12,2.1
NORTH BEND - NORTH BEND WAY,2013-03-13,2.0
NORTH BEND - NORTH BEND WAY,2013-03-14,4.9
NORTH BEND - NORTH BEND WAY,2013-03-15,3.0
NORTH BEND - NORTH BEND WAY,2013-03-16,2.1
NORTH BEND - NORTH BEND WAY,2013-03-17,2.6
NORTH BEND - NORTH BEND WAY,2013-03-18,2.9
NORTH BEND - NORTH BEND WAY,2013-03-19,4.5
NORTH BEND - NORTH BEND WAY,2013-03-20,2.2
NORTH BEND - NORTH BEND WAY,2013-03-21,4.8
NORTH BEND - NORTH BEND WAY,2013-03-22,4.7
NORTH BEND - NORTH BEND WAY,2013-03-23,5.1
NORTH BEND - NORTH BEND WAY,2013-03-24,5.3
NORTH BEND - NORTH BEND WAY,2013-03-25,3.6
NORTH BEND - NORTH BEND WAY,2013-03-26,5.5
NORTH BEND - NORTH BEND WAY,2013-03-27,7.5
NORTH BEND - NORTH BEND WAY,2013-03-28,5.3
NORTH BEND - NORTH BEND WAY,2013-03-29,4.2
NORTH BEND - NORTH BEND WAY,2013-03-30,6.8
NORTH BEND - NORTH BEND WAY,2013-03-31,8.6
NORTH BEND - NORTH BEND WAY,2013-04-01,7.4
NORTH BEND - NORTH BEND WAY,2013-04-02,4.9
NORTH BEND - NORTH BEND WAY,2013-04-03,5.1
NORTH BEND - NORTH BEND WAY,2013-04-04,4.1
NORTH BEND - NORTH BEND WAY,2013-04-05,1.5
NORTH BEND - NORTH BEND WAY,2013-04-06,1.8
NORTH BEND - NORTH BEND WAY,2013-04-07,2.5
NORTH BEND - NORTH BEND WAY,2013-04-08,4.3
NORTH BEND - NORTH BEND WAY,2013-04-09,3.4
NORTH BEND - NORTH BEND WAY,2013-04-10,2.6
NORTH BEND - NORTH BEND WAY,2013-04-11,2.4
NORTH BEND - NORTH BEND WAY,2013-04-12,2.5
NORTH BEND - NORTH BEND WAY,2013-04-13,3.3
NORTH BEND - NORTH BEND WAY,2013-04-14,3.1
NORTH BEND - NORTH BEND WAY,2013-04-15,3.6
NORTH BEND - NORTH BEND WAY,2013-04-16,3.1
NORTH BEND - NORTH BEND WAY,2013-04-17,4.1
NORTH BEND - NORTH BEND WAY,2013-04-18,3.0
NORTH BEND - NORTH BEND WAY,2013-04-19,1.7
NORTH BEND - NORTH BEND WAY,2013-04-20,1.7
NORTH BEND - NORTH BEND WAY,2013-04-21,3.4
NORTH BEND - NORTH BEND WAY,2013-04-22,3.9
NORTH BEND - NORTH BEND WAY,2013-04-23,4.1
NORTH BEND - NORTH BEND WAY,2013-04-24,4.1
NORTH BEND - NORTH BEND WAY,2013-04-25,3.9
NORTH BEND - NORTH BEND WAY,2013-04-26,4.8
NORTH BEND - NORTH BEND WAY,2013-04-27,3.2
NORTH BEND - NORTH BEND WAY,2013-04-28,2.8
NORTH BEND - NORTH BEND WAY,2013-04-29,2.6
NORTH BEND - NORTH BEND WAY,2013-04-30,3.3
NORTH BEND - NORTH BEND WAY,2013-05-01,2.8
NORTH BEND - NORTH BEND WAY,2013-05-02,4.2
NORTH BEND - NORTH BEND WAY,2013-05-03,5.4
NORTH BEND - NORTH BEND WAY,2013-05-04,5.5
NORTH BEND - NORTH BEND WAY,2013-05-05,5.0
NORTH BEND - NORTH BEND WAY,2013-05-06,5.0
NORTH BEND - NORTH BEND WAY,2013-05-07,9.3
NORTH BEND - NORTH BEND WAY,2013-05-08,10.7
NORTH BEND - NORTH BEND WAY,2013-05-09,12.6
NORTH BEND - NORTH BEND WAY,2013-05-10,11.5
NORTH BEND - NORTH BEND WAY,2013-05-11,10.7
NORTH BEND - NORTH BEND WAY,2013-05-12,6.3
NORTH BEND - NORTH BEND WAY,2013-05-13,2.5
NORTH BEND - NORTH BEND WAY,2013-05-14,4.3
NORTH BEND - NORTH BEND WAY,2013-05-15,5.1
NORTH BEND - NORTH BEND WAY,2013-05-16,2.9
NORTH BEND - NORTH BEND WAY,2013-05-17,2.6
NORTH BEND - NORTH BEND WAY,2013-05-18,3.0
NORTH BEND - NORTH BEND WAY,2013-05-19,4.6
NORTH BEND - NORTH BEND WAY,2013-05-20,6.0
NORTH BEND - NORTH BEND WAY,2013-05-21,3.6
NORTH BEND - NORTH BEND WAY,2013-05-22,2.3
NORTH BEND - NORTH BEND WAY,2013-05-23,2.7
NORTH BEND - NORTH BEND WAY,2013-05-24,2.3
NORTH BEND - NORTH BEND WAY,2013-05-25,3.1
NORTH BEND - NORTH BEND WAY,2013-05-26,4.4
NORTH BEND - NORTH BEND WAY,2013-05-27,2.1
NORTH BEND - NORTH BEND WAY,2013-05-28,1.9
NORTH BEND - NORTH BEND WAY,2013-05-29,2.4
NORTH BEND - NORTH BEND WAY,2013-05-30,2.3
NORTH BEND - NORTH BEND WAY,2013-05-31,3.2
NORTH BEND - NORTH BEND WAY,2013-06-01,4.2
NORTH BEND - NORTH BEND WAY,2013-06-02,4.0
NORTH BEND - NORTH BEND WAY,2013-06-03,4.9
NORTH BEND - NORTH BEND WAY,2013-06-04,5.9
NORTH BEND - NORTH BEND WAY,2013-06-05,5.4
NORTH BEND - NORTH BEND WAY,2013-06-06,5.1
NORTH BEND - NORTH BEND WAY,2013-06-07,4.4
NORTH BEND - NORTH BEND WAY,2013-06-08,6.4
NORTH BEND - NORTH BEND WAY,2013-06-09,4.7
NORTH BEND - NORTH BEND WAY,2013-06-10,3.8
NORTH BEND - NORTH BEND WAY,2013-06-11,2.6
NORTH BEND - NORTH BEND WAY,2013-06-12,2.7
NORTH BEND - NORTH BEND WAY,2013-06-13,2.9
NORTH BEND - NORTH BEND WAY,2013-06-14,3.5
NORTH BEND - NORTH BEND WAY,2013-06-15,5.4
NORTH BEND - NORTH BEND WAY,2013-06-16,7.3
NORTH BEND - NORTH BEND WAY,2013-06-17,4.7
NORTH BEND - NORTH BEND WAY,2013-06-18,3.2
NORTH BEND - NORTH BEND WAY,2013-06-19,2.8
NORTH BEND - NORTH BEND WAY,2013-06-20,2.2
NORTH BEND - NORTH BEND WAY,2013-06-21,2.5
NORTH BEND - NORTH BEND WAY,2013-06-22,4.0
NORTH BEND - NORTH BEND WAY,2013-06-23,6.0
NORTH BEND - NORTH BEND WAY,2013-06-24,2.2
NORTH BEND - NORTH BEND WAY,2013-06-25,2.1
NORTH BEND - NORTH BEND WAY,2013-06-26,3.0
NORTH BEND - NORTH BEND WAY,2013-06-27,3.2
NORTH BEND - NORTH BEND WAY,2013-06-28,5.4
NORTH BEND - NORTH BEND WAY,2013-06-29,6.8
NORTH BEND - NORTH BEND WAY,2013-06-30,7.1
NORTH BEND - NORTH BEND WAY,2013-07-01,9.2
NORTH BEND - NORTH BEND WAY,2013-07-02,6.2
NORTH BEND - NORTH BEND WAY,2013-07-03,5.6
NORTH BEND - NORTH BEND WAY,2013-07-04,11.5
NORTH BEND - NORTH BEND WAY,2013-07-05,13.0
NORTH BEND - NORTH BEND WAY,2013-07-06,9.6
NORTH BEND - NORTH BEND WAY,2013-07-07,10.6
NORTH BEND - NORTH BEND WAY,2013-07-08,10.3
NORTH BEND - NORTH BEND WAY,2013-07-09,8.1
NORTH BEND - NORTH BEND WAY,2013-07-10,7.4
NORTH BEND - NORTH BEND WAY,2013-07-11,4.8
NORTH BEND - NORTH BEND WAY,2013-07-12,4.6
NORTH BEND - NORTH BEND WAY,2013-07-13,5.2
NORTH BEND - NORTH BEND WAY,2013-07-14,5.2
NORTH BEND - NORTH BEND WAY,2013-07-15,5.0
NORTH BEND - NORTH BEND WAY,2013-07-16,7.7
NORTH BEND - NORTH BEND WAY,2013-07-17,9.2
NORTH BEND - NORTH BEND WAY,2013-07-18,9.0
NORTH BEND - NORTH BEND WAY,2013-07-19,10.5
NORTH BEND - NORTH BEND WAY,2013-07-20,12.5
NORTH BEND - NORTH BEND WAY,2013-07-21,13.8
NORTH BEND - NORTH BEND WAY,2013-07-22,9.9
NORTH BEND - NORTH BEND WAY,2013-07-23,8.4
NORTH BEND - NORTH BEND WAY,2013-07-24,6.6
NORTH BEND - NORTH BEND WAY,2013-07-25,5.6
NORTH BEND - NORTH BEND WAY,2013-07-26,4.7
NORTH BEND - NORTH BEND WAY,2013-07-27,6.9
NORTH BEND - NORTH BEND WAY,2013-07-28,8.4
NORTH BEND - NORTH BEND WAY,2013-07-29,9.2
NORTH BEND - NORTH BEND WAY,2013-07-30,10.9
NORTH BEND - NORTH BEND WAY,2013-07-31,11.8
NORTH BEND - NORTH BEND WAY,2013-08-01,8.1
NORTH BEND - NORTH BEND WAY,2013-08-02,4.1
NORTH BEND - NORTH BEND WAY,2013-08-03,6.2
NORTH BEND - NORTH BEND WAY,2013-08-04,9.3
NORTH BEND - NORTH BEND WAY,2013-08-05,9.4
NORTH BEND - NORTH BEND WAY,2013-08-06,8.2
NORTH BEND - NORTH BEND WAY,2013-08-07,7.2
NORTH BEND - NORTH BEND WAY,2013-08-08,5.3
NORTH BEND - NORTH BEND WAY,2013-08-09,5.3
NORTH BEND - NORTH BEND WAY,2013-08-10,9.5
NORTH BEND - NORTH BEND WAY,2013-08-11,7.3
NORTH BEND - NORTH BEND WAY,2013-08-12,7.0
NORTH BEND - NORTH BEND WAY,2013-08-13,7.3
NORTH BEND - NORTH BEND WAY,2013-08-14,7.7
NORTH BEND - NORTH BEND WAY,2013-08-15,6.8
NORTH BEND - NORTH BEND WAY,2013-08-16,5.6
NORTH BEND - NORTH BEND WAY,2013-08-17,4.1
NORTH BEND - NORTH BEND WAY,2013-08-18,4.9
NORTH BEND - NORTH BEND WAY,2013-08-19,6.2
NORTH BEND - NORTH BEND WAY,2013-08-20,6.2
NORTH BEND - NORTH BEND WAY,2013-08-21,7.0
NORTH BEND - NORTH BEND WAY,2013-08-22,10.2
NORTH BEND - NORTH BEND WAY,2013-08-23,8.8
NORTH BEND - NORTH BEND WAY,2013-08-24,4.4
NORTH BEND - NORTH BEND WAY,2013-08-25,5.8
NORTH BEND - NORTH BEND WAY,2013-08-26,5.0
NORTH BEND - NORTH BEND WAY,2013-08-27,3.4
NORTH BEND - NORTH BEND WAY,2013-08-28,4.9
NORTH BEND - NORTH BEND WAY,2013-08-29,3.4
NORTH BEND - NORTH BEND WAY,2013-08-30,6.1
NORTH BEND - NORTH BEND WAY,2013-08-31,6.4
NORTH BEND - NORTH BEND WAY,2013-09-01,8.2
NORTH BEND - NORTH BEND WAY,2013-09-02,5.6
NORTH BEND - NORTH BEND WAY,2013-09-03,5.6
NORTH BEND - NORTH BEND WAY,2013-09-04,8.6
NORTH BEND - NORTH BEND WAY,2013-09-05,9.0
NORTH BEND - NORTH BEND WAY,2013-09-06,3.7
NORTH BEND - NORTH BEND WAY,2013-09-07,5.8
NORTH BEND - NORTH BEND WAY,2013-09-08,5.7
NORTH BEND - NORTH BEND WAY,2013-09-09,6.6
NORTH BEND - NORTH BEND WAY,2013-09-10,6.8
NORTH BEND - NORTH BEND WAY,2013-09-11,7.8
NORTH BEND - NORTH BEND WAY,2013-09-12,11.7
NORTH BEND - NORTH BEND WAY,2013-09-13,13.3
NORTH BEND - NORTH BEND WAY,2013-09-14,11.7
NORTH BEND - NORTH BEND WAY,2013-09-15,8.4
NORTH BEND - NORTH BEND WAY,2013-09-16,2.7
NORTH BEND - NORTH BEND WAY,2013-09-17,5.0
NORTH BEND - NORTH BEND WAY,2013-09-18,5.3
NORTH BEND - NORTH BEND WAY,2013-09-19,3.9
NORTH BEND - NORTH BEND WAY,2013-09-20,5.6
NORTH BEND - NORTH BEND WAY,2013-09-21,4.1
NORTH BEND - NORTH BEND WAY,2013-09-22,2.8
NORTH BEND - NORTH BEND WAY,2013-09-23,2.8
NORTH BEND - NORTH BEND WAY,2013-09-24,3.5
NORTH BEND - NORTH BEND WAY,2013-09-25,5.2
NORTH BEND - NORTH BEND WAY,2013-09-26,6.8
NORTH BEND - NORTH BEND WAY,2013-09-27,3.9
NORTH BEND - NORTH BEND WAY,2013-09-28,2.0
NORTH BEND - NORTH BEND WAY,2013-09-29,1.9
NORTH BEND - NORTH BEND WAY,2013-09-30,2.3
NORTH BEND - NORTH BEND WAY,2013-10-01,2.0
NORTH BEND - NORTH BEND WAY,2013-10-02,2.9
NORTH BEND - NORTH BEND WAY,2013-10-03,4.5
NORTH BEND - NORTH BEND WAY,2013-10-04,3.6
NORTH BEND - NORTH BEND WAY,2013-10-05,4.3
NORTH BEND - NORTH BEND WAY,2013-10-06,6.0
NORTH BEND - NORTH BEND WAY,2013-10-07,3.6
NORTH BEND - NORTH BEND WAY,2013-10-08,5.1
NORTH BEND - NORTH BEND WAY,2013-10-09,4.6
NORTH BEND - NORTH BEND WAY,2013-10-10,6.2
NORTH BEND - NORTH BEND WAY,2013-10-11,6.9
NORTH BEND - NORTH BEND WAY,2013-10-12,8.6
NORTH BEND - NORTH BEND WAY,2013-10-13,11.0
NORTH BEND - NORTH BEND WAY,2013-10-14,11.9
NORTH BEND - NORTH BEND WAY,2013-10-15,11.3
NORTH BEND - NORTH BEND WAY,2013-10-16,11.6
NORTH BEND - NORTH BEND WAY,2013-10-17,10.6
NORTH BEND - NORTH BEND WAY,2013-10-18,12.4
NORTH BEND - NORTH BEND WAY,2013-10-19,12.2
NORTH BEND - NORTH BEND WAY,2013-10-20,8.0
NORTH BEND - NORTH BEND WAY,2013-10-21,5.3
NORTH BEND - NORTH BEND WAY,2013-10-22,5.6
NORTH BEND - NORTH BEND WAY,2013-10-23,7.2
NORTH BEND - NORTH BEND WAY,2013-10-24,9.1
NORTH BEND - NORTH BEND WAY,2013-10-25,7.3
NORTH BEND - NORTH BEND WAY,2013-10-26,8.7
NORTH BEND - NORTH BEND WAY,2013-10-27,9.3
NORTH BEND - NORTH BEND WAY,2013-10-28,6.9
NORTH BEND - NORTH BEND WAY,2013-10-29,8.1
NORTH BEND - NORTH BEND WAY,2013-10-30,6.7
NORTH BEND - NORTH BEND WAY,2013-10-31,8.4
NORTH BEND - NORTH BEND WAY,2013-11-01,5.8
NORTH BEND - NORTH BEND WAY,2013-11-02,3.9
NORTH BEND - NORTH BEND WAY,2013-11-03,9.3
NORTH BEND - NORTH BEND WAY,2013-11-04,7.6
NORTH BEND - NORTH BEND WAY,2013-11-05,4.1
NORTH BEND - NORTH BEND WAY,2013-11-06,4.8
NORTH BEND - NORTH BEND WAY,2013-11-07,1.8
NORTH BEND - NORTH BEND WAY,2013-11-08,3.8
NORTH BEND - NORTH BEND WAY,2013-11-09,3.3
NORTH BEND - NORTH BEND WAY,2013-11-10,5.7
NORTH BEND - NORTH BEND WAY,2013-11-11,4.3
NORTH BEND - NORTH BEND WAY,2013-11-12,6.2
NORTH BEND - NORTH BEND WAY,2013-11-13,4.4
NORTH BEND - NORTH BEND WAY,2013-11-14,7.5
NORTH BEND - NORTH BEND WAY,2013-11-15,3.1
NORTH BEND - NORTH BEND WAY,2013-11-16,4.4
NORTH BEND - NORTH BEND WAY,2013-11-17,2.5
NORTH BEND - NORTH BEND WAY,2013-11-18,2.2
NORTH BEND - NORTH BEND WAY,2013-11-19,3.6
NORTH BEND - NORTH BEND WAY,2013-11-20,10.5
NORTH BEND - NORTH BEND WAY,2013-11-21,10.9
NORTH BEND - NORTH BEND WAY,2013-11-22,6.8
NORTH BEND - NORTH BEND WAY,2013-11-23,4.1
NORTH BEND - NORTH BEND WAY,2013-11-24,11.6
NORTH BEND - NORTH BEND WAY,2013-11-25,8.2
NORTH BEND - NORTH BEND WAY,2013-11-26,8.7
NORTH BEND - NORTH BEND WAY,2013-11-27,8.4
NORTH BEND - NORTH BEND WAY,2013-11-28,9.1
NORTH BEND - NORTH BEND WAY,2013-11-29,11.1
NORTH BEND - NORTH BEND WAY,2013-11-30,3.9
NORTH BEND - NORTH BEND WAY,2013-12-01,1.4
NORTH BEND - NORTH BEND WAY,2013-12-02,3.8
NORTH BEND - NORTH BEND WAY,2013-12-03,10.2
NORTH BEND - NORTH BEND WAY,2013-12-04,8.7
NORTH BEND - NORTH BEND WAY,2013-12-05,7.6
NORTH BEND - NORTH BEND WAY,2013-12-06,5.4
NORTH BEND - NORTH BEND WAY,2013-12-07,7.4
NORTH BEND - NORTH BEND WAY,2013-12-08,10.3
NORTH BEND - NORTH BEND WAY,2013-12-09,14.2
NORTH BEND - NORTH BEND WAY,2013-12-10,17.5
NORTH BEND - NORTH BEND WAY,2013-12-11,3.7
NORTH BEND - NORTH BEND WAY,2013-12-12,6.0
NORTH BEND - NORTH BEND WAY,2013-12-13,5.2
NORTH BEND - NORTH BEND WAY,2013-12-14,3.9
NORTH BEND - NORTH BEND WAY,2013-12-15,3.4
NORTH BEND - NORTH BEND WAY,2013-12-16,6.1
NORTH BEND - NORTH BEND WAY,2013-12-17,6.0
NORTH BEND - NORTH BEND WAY,2013-12-18,6.8
NORTH BEND - NORTH BEND WAY,2013-12-19,10.8
NORTH BEND - NORTH BEND WAY,2013-12-20,3.5
NORTH BEND - NORTH BEND WAY,2013-12-21,8.7
NORTH BEND - NORTH BEND WAY,2013-12-22,4.7
NORTH BEND - NORTH BEND WAY,2013-12-23,3.6
NORTH BEND - NORTH BEND WAY,2013-12-24,7.4
NORTH BEND - NORTH BEND WAY,2013-12-25,8.8
NORTH BEND - NORTH BEND WAY,2013-12-26,14.9
NORTH BEND - NORTH BEND WAY,2013-12-27,13.5
NORTH BEND - NORTH BEND WAY,2013-12-28,10.0
NORTH BEND - NORTH BEND WAY,2013-12-29,8.4
NORTH BEND - NORTH BEND WAY,2013-12-30,8.2
NORTH BEND - NORTH BEND WAY,2013-12-31,4.9
LAKE FOREST PARK TOWNE CENTER,2013-01-01,27.2
LAKE FOREST PARK TOWNE CENTER,2013-01-02,21.2
LAKE FOREST PARK TOWNE CENTER,2013-01-03,13.9
LAKE FOREST PARK TOWNE CENTER,2013-01-04,6.7
LAKE FOREST PARK TOWNE CENTER,2013-01-05,12.9
LAKE FOREST PARK TOWNE CENTER,2013-01-06,5.5
LAKE FOREST PARK TOWNE CENTER,2013-01-07,2.0
LAKE FOREST PARK TOWNE CENTER,2013-01-08,2.5
LAKE FOREST PARK TOWNE CENTER,2013-01-09,1.8
LAKE FOREST PARK TOWNE CENTER,2013-01-10,11.6
LAKE FOREST PARK TOWNE CENTER,2013-01-11,23.4
LAKE FOREST PARK TOWNE CENTER,2013-01-12,34.1
LAKE FOREST PARK TOWNE CENTER,2013-01-13,35.8
LAKE FOREST PARK TOWNE CENTER,2013-01-14,21.9
LAKE FOREST PARK TOWNE CENTER,2013-01-15,16.5
LAKE FOREST PARK TOWNE CENTER,2013-01-16,17.8
LAKE FOREST PARK TOWNE CENTER,2013-01-17,23.5
LAKE FOREST PARK TOWNE CENTER,2013-01-18,12.9
LAKE FOREST PARK TOWNE CENTER,2013-01-19,13.4
LAKE FOREST PARK TOWNE CENTER,2013-01-20,15.7
LAKE FOREST PARK TOWNE CENTER,2013-01-21,15.4
LAKE FOREST PARK TOWNE CENTER,2013-01-22,21.4
LAKE FOREST PARK TOWNE CENTER,2013-01-23,14.3
LAKE FOREST PARK TOWNE CENTER,2013-01-24,4.4
LAKE FOREST PARK TOWNE CENTER,2013-01-25,8.7
LAKE FOREST PARK TOWNE CENTER,2013-01-26,6.1
LAKE FOREST PARK TOWNE CENTER,2013-01-27,2.7
LAKE FOREST PARK TOWNE CENTER,2013-01-28,5.2
LAKE FOREST PARK TOWNE CENTER,2013-01-29,3.5
LAKE FOREST PARK TOWNE CENTER,2013-01-30,4.3
LAKE FOREST PARK TOWNE CENTER,2013-01-31,4.4
LAKE FOREST PARK TOWNE CENTER,2013-02-01,7.7
LAKE FOREST PARK TOWNE CENTER,2013-02-02,12.0
LAKE FOREST PARK TOWNE CENTER,2013-02-03,11.7
LAKE FOREST PARK TOWNE CENTER,2013-02-04,8.1
LAKE FOREST PARK TOWNE CENTER,2013-02-05,5.6
LAKE FOREST PARK TOWNE CENTER,2013-02-06,2.1
LAKE FOREST PARK TOWNE CENTER,2013-02-07,5.2
LAKE FOREST PARK TOWNE CENTER,2013-02-08,11.9
LAKE FOREST PARK TOWNE CENTER,2013-02-09,12.9
LAKE FOREST PARK TOWNE CENTER,2013-02-10,13.3
LAKE FOREST PARK TOWNE CENTER,2013-02-11,16.0
LAKE FOREST PARK TOWNE CENTER,2013-02-12,5.4
LAKE FOREST PARK TOWNE CENTER,2013-02-13,5.6
LAKE FOREST PARK TOWNE CENTER,2013-02-14,8.1
LAKE FOREST PARK TOWNE CENTER,2013-02-15,8.2
LAKE FOREST PARK TOWNE CENTER,2013-02-16,8.1
LAKE FOREST PARK TOWNE CENTER,2013-02-17,9.4
LAKE FOREST PARK TOWNE CENTER,2013-02-18,10.3
LAKE FOREST PARK TOWNE CENTER,2013-02-19,8.4
LAKE FOREST PARK TOWNE CENTER,2013-02-20,12.7
LAKE FOREST PARK TOWNE CENTER,2013-02-21,5.6
LAKE FOREST PARK TOWNE CENTER,2013-02-22,3.1
LAKE FOREST PARK TOWNE CENTER,2013-02-23,5.0
LAKE FOREST PARK TOWNE CENTER,2013-02-24,4.0
LAKE FOREST PARK TOWNE CENTER,2013-02-25,2.8
LAKE FOREST PARK TOWNE CENTER,2013-02-26,4.1
LAKE FOREST PARK TOWNE CENTER,2013-02-27,5.8
LAKE FOREST PARK TOWNE CENTER,2013-02-28,3.4
LAKE FOREST PARK TOWNE CENTER,2013-03-01,2.1
LAKE FOREST PARK TOWNE CENTER,2013-03-02,2.8
LAKE FOREST PARK TOWNE CENTER,2013-03-03,7.3
LAKE FOREST PARK TOWNE CENTER,2013-03-04,10.4
LAKE FOREST PARK TOWNE CENTER,2013-03-05,6.3
LAKE FOREST PARK TOWNE CENTER,2013-03-06,3.7
LAKE FOREST PARK TOWNE CENTER,2013-03-07,5.1
LAKE FOREST PARK TOWNE CENTER,2013-03-08,10.2
LAKE FOREST PARK TOWNE CENTER,2013-03-09,16.6
LAKE FOREST PARK TOWNE CENTER,2013-03-10,12.9
LAKE FOREST PARK TOWNE CENTER,2013-03-11,12.3
LAKE FOREST PARK TOWNE CENTER,2013-03-12,3.5
LAKE FOREST PARK TOWNE CENTER,2013-03-13,4.8
LAKE FOREST PARK TOWNE CENTER,2013-03-14,6.8
LAKE FOREST PARK TOWNE CENTER,2013-03-15,2.4
LAKE FOREST PARK TOWNE CENTER,2013-03-16,2.3
LAKE FOREST PARK TOWNE CENTER,2013-03-17,3.8
LAKE FOREST PARK TOWNE CENTER,2013-03-18,3.7
LAKE FOREST PARK TOWNE CENTER,2013-03-19,5.6
LAKE FOREST PARK TOWNE CENTER,2013-03-20,1.6
LAKE FOREST PARK TOWNE CENTER,2013-03-21,3.1
LAKE FOREST PARK TOWNE CENTER,2013-03-22,7.0
LAKE FOREST PARK TOWNE CENTER,2013-03-23,12.0
LAKE FOREST PARK TOWNE CENTER,2013-03-24,14.2
LAKE FOREST PARK TOWNE CENTER,2013-03-25,8.1
LAKE FOREST PARK TOWNE CENTER,2013-03-26,9.8
LAKE FOREST PARK TOWNE CENTER,2013-03-27,12.3
LAKE FOREST PARK TOWNE CENTER,2013-03-28,11.6
LAKE FOREST PARK TOWNE CENTER,2013-03-29,7.9
LAKE FOREST PARK TOWNE CENTER,2013-03-30,9.2
LAKE FOREST PARK TOWNE CENTER,2013-03-31,8.7
LAKE FOREST PARK TOWNE CENTER,2013-04-01,9.2
LAKE FOREST PARK TOWNE CENTER,2013-04-02,2.5
LAKE FOREST PARK TOWNE CENTER,2013-04-03,6.4
LAKE FOREST PARK TOWNE CENTER,2013-04-04,8.4
