houseid,longitude,latitude
318,-122.19,37.76
319,-122.19,37.75
320,-122.19,37.75
321,-122.19,37.76
322,-122.19,37.74
323,-122.18,37.74
324,-122.19,37.73
325,-122.19,37.74
326,-122.19,37.73
327,-122.18,37.73
328,-122.18,37.73
329,-122.18,37.73
330,-122.18,37.73
331,-122.17,37.74
332,-122.17,37.74
333,-122.17,37.74
334,-122.17,37.73
335,-122.18,37.74
336,-122.17,37.74
337,-122.17,37.74
338,-122.18,37.74
339,-122.18,37.75
340,-122.18,37.75
341,-122.17,37.75
342,-122.18,37.75
343,-122.19,37.75
344,-122.18,37.75
345,-122.18,37.75
346,-122.17,37.76
347,-122.17,37.75
348,-122.17,37.75
349,-122.17,37.75
350,-122.17,37.75
351,-122.16,37.76
352,-122.16,37.75
353,-122.17,37.75
354,-122.17,37.76
355,-122.16,37.76
356,-122.16,37.76
357,-122.15,37.76
358,-122.14,37.77
359,-122.14,37.76
360,-122.13,37.76
361,-122.12,37.75
362,-122.12,37.75
363,-122.14,37.75
364,-122.14,37.75
365,-122.13,37.75
366,-122.13,37.75
367,-122.13,37.74
368,-122.16,37.75
369,-122.15,37.75
370,-122.15,37.75
371,-122.15,37.74
372,-122.16,37.75
373,-122.16,37.75
374,-122.15,37.74
375,-122.15,37.74
376,-122.16,37.75
377,-122.16,37.75
378,-122.17,37.74
379,-122.17,37.75
380,-122.16,37.74
381,-122.16,37.74
382,-122.16,37.74
383,-122.16,37.74
384,-122.16,37.74
385,-122.29,37.9
386,-122.29,37.9
387,-122.29,37.89
388,-122.3,37.9
389,-122.29,37.89
390,-122.3,37.89
391,-122.3,37.9
392,-122.3,37.89
393,-122.3,37.89
394,-122.33,37.89
395,-122.34,37.88
396,-122.29,37.89
397,-122.29,37.88
398,-122.29,37.89
399,-122.29,37.89
400,-122.28,37.88
401,-122.29,37.89
402,-122.27,37.9
403,-122.26,37.9
404,-122.27,37.9
405,-122.27,37.9
406,-122.27,37.9
407,-122.27,37.89
408,-122.28,37.9
409,-122.28,37.9
410,-122.28,37.9
411,-122.28,37.89
412,-122.28,37.89
413,-122.28,37.89
414,-122.28,37.89
415,-122.27,37.89
416,-122.27,37.89
417,-122.26,37.9
418,-122.25,37.89
419,-122.26,37.89
420,-122.26,37.89
421,-122.25,37.89
422,-122.25,37.89
423,-122.26,37.88
424,-122.26,37.88
425,-122.27,37.88
426,-122.27,37.88
427,-122.27,37.88
428,-122.28,37.88
429,-122.28,37.88
430,-122.28,37.88
431,-122.29,37.88
432,-122.29,37.88
433,-122.29,37.88
434,-122.29,37.88
435,-122.3,37.88
436,-122.3,37.88
437,-122.3,37.87
438,-122.3,37.86
439,-122.29,37.85
440,-122.3,37.88
441,-122.3,37.87
442,-122.28,37.88
443,-122.28,37.87
444,-122.28,37.87
445,-122.29,37.87
446,-122.29,37.87
447,-122.28,37.88
448,-122.28,37.87
449,-122.28,37.87
450,-122.27,37.88
451,-122.27,37.87
452,-122.27,37.88
453,-122.26,37.88
454,-122.26,37.88
455,-122.26,37.88
456,-122.25,37.87
457,-122.25,37.87
458,-122.25,37.87
459,-122.25,37.87
460,-122.26,37.87
461,-122.26,37.87
462,-122.27,37.87
463,-122.27,37.87
464,-122.27,37.87
465,-122.28,37.86
466,-122.28,37.87
467,-122.28,37.87
468,-122.29,37.87
469,-122.29,37.87
470,-122.29,37.86
471,-122.28,37.86
472,-122.29,37.87
473,-122.29,37.86
474,-122.28,37.86
475,-122.28,37.86
476,-122.28,37.85
477,-122.27,37.86
478,-122.28,37.86
479,-122.28,37.86
480,-122.28,37.86
481,-122.27,37.86
482,-122.27,37.86
483,-122.27,37.86
484,-122.27,37.86
485,-122.26,37.86
486,-122.26,37.86
487,-122.26,37.86
488,-122.26,37.86
489,-122.25,37.86
490,-122.25,37.86
491,-122.25,37.86
492,-122.25,37.86
493,-122.24,37.86
494,-122.24,37.85
495,-122.25,37.86
496,-122.26,37.85
497,-122.27,37.85
498,-122.27,37.85
499,-122.27,37.85
500,-122.27,37.85
501,-122.27,37.85
502,-122.27,37.85
503,-122.28,37.85
504,-122.28,37.85
505,-122.28,37.85
506,-122.29,37.84
507,-122.28,37.83
508,-122.3,37.84
509,-122.23,37.83
510,-122.22,37.82
511,-122.22,37.82
512,-122.23,37.82
513,-122.23,37.82
514,-122.23,37.82
515,-122.24,37.83
516,-122.24,37.83
517,-122.23,37.82
518,-122.24,37.82
519,-122.25,37.82
520,-122.23,37.76
521,-122.23,37.76
522,-122.23,37.76
523,-122.24,37.77
524,-122.23,37.77
525,-122.24,37.77
526,-122.25,37.77
527,-122.25,37.77
528,-122.25,37.77
529,-122.25,37.77
530,-122.26,37.78
531,-122.26,37.78
532,-122.27,37.78
533,-122.27,37.78
534,-122.27,37.78
535,-122.27,37.78
536,-122.28,37.79
537,-122.3,37.77
538,-122.28,37.78
539,-122.29,37.78
540,-122.28,37.77
541,-122.28,37.77
542,-122.29,37.76
543,-122.28,37.78
544,-122.26,37.77
545,-122.27,37.77
546,-122.27,37.77
547,-122.27,37.77
548,-122.27,37.77
549,-122.25,37.77
550,-122.26,37.77
551,-122.26,37.77
552,-122.26,37.77
553,-122.26,37.77
554,-122.26,37.77
555,-122.24,37.77
556,-122.25,37.77
557,-122.23,37.76
558,-122.23,37.76
559,-122.24,37.76
560,-122.24,37.76
561,-122.23,37.76
562,-122.23,37.75
563,-122.24,37.75
564,-122.24,37.75
565,-122.24,37.76
566,-122.24,37.76
567,-122.24,37.76
568,-122.24,37.73
569,-122.25,37.74
570,-122.24,37.72
571,-122.27,37.73
572,-122.25,37.76
573,-122.27,37.74
574,-122.27,37.77
575,-122.28,37.75
576,-122.06,37.77
577,-122.06,37.73
578,-122.06,37.71
579,-122.07,37.71
580,-122.07,37.71
581,-122.07,37.72
582,-122.08,37.72
583,-122.08,37.72
584,-122.08,37.71
585,-122.09,37.71
586,-122.1,37.72
587,-122.11,37.71
588,-122.1,37.7
589,-122.1,37.69
590,-122.09,37.71
591,-122.09,37.7
592,-122.1,37.71
593,-122.09,37.7
594,-122.08,37.71
595,-122.08,37.71
596,-122.08,37.7
597,-122.07,37.7
598,-122.06,37.7
599,-122.06,37.7
600,-122.07,37.7
601,-122.08,37.7
602,-122.09,37.7
603,-122.07,37.69
604,-122.08,37.69
605,-122.07,37.69
606,-122.08,37.69
607,-122.08,37.69
608,-122.08,37.68
609,-122.08,37.68
610,-122.09,37.69
611,-122.15,37.74
612,-122.14,37.74
613,-122.14,37.73
614,-122.15,37.74
615,-122.16,37.73
616,-122.15,37.74
617,-122.15,37.73
618,-122.15,37.73
619,-122.17,37.73
620,-122.16,37.73
621,-122.17,37.73
622,-122.16,37.73
623,-122.18,37.72
624,-122.18,37.71
625,-122.17,37.71
626,-122.18,37.7
627,-122.18,37.7
628,-122.19,37.71
629,-122.17,37.72
630,-122.17,37.72
631,-122.17,37.72
632,-122.16,37.72
633,-122.17,37.72
634,-122.16,37.71
635,-122.16,37.71
636,-122.16,37.72
637,-122.15,37.73
638,-122.15,37.72
639,-122.15,37.72
640,-122.15,37.72
641,-122.14,37.73
642,-122.14,37.73
643,-122.14,37.73
644,-122.13,37.73
645,-122.13,37.72
646,-122.13,37.72
647,-122.12,37.71
648,-122.13,37.72
649,-122.14,37.72
650,-122.14,37.72
651,-122.13,37.72
652,-122.13,37.71
653,-122.13,37.71
654,-122.15,37.71
655,-122.14,37.71
656,-122.14,37.71
657,-122.13,37.7
658,-122.13,37.7
659,-122.15,37.71
660,-122.15,37.7
661,-122.14,37.7
662,-122.13,37.7
663,-122.13,37.69
664,-122.14,37.7
665,-122.16,37.7
666,-122.14,37.69
667,-122.15,37.69
668,-122.15,37.69
669,-122.15,37.7
670,-122.16,37.69
671,-122.16,37.7
672,-122.16,37.7
673,-122.17,37.7
674,-122.16,37.68
675,-122.17,37.69
676,-122.18,37.68
677,-122.16,37.69
678,-122.15,37.69
679,-122.15,37.68
680,-122.15,37.68
681,-122.15,37.69
682,-122.14,37.69
683,-122.14,37.68
684,-122.14,37.68
685,-122.1,37.69
686,-122.12,37.69
687,-122.13,37.69
688,-122.12,37.71
689,-122.12,37.7
690,-122.12,37.7
691,-122.12,37.69
692,-122.12,37.7
693,-122.11,37.7
694,-122.11,37.7
695,-122.11,37.7
696,-122.1,37.69
697,-122.11,37.69
698,-122.11,37.69
699,-122.12,37.69
700,-122.03,37.69
701,-121.97,37.64
702,-122.02,37.63
703,-122.04,37.63
704,-122.05,37.63
705,-122.04,37.66
706,-122.04,37.65
707,-122.05,37.68
708,-122.07,37.68
709,-122.06,37.68
710,-122.08,37.68
711,-122.08,37.68
712,-122.08,37.67
713,-122.09,37.67
714,-122.09,37.68
715,-122.09,37.69
716,-122.09,37.68
717,-122.09,37.68
718,-122.09,37.68
719,-122.1,37.68
720,-122.1,37.68
721,-122.11,37.68
722,-122.1,37.68
723,-122.1,37.67
724,-122.1,37.68
725,-122.12,37.68
726,-122.12,37.68
727,-122.12,37.68
728,-122.11,37.67
729,-122.12,37.68
730,-122.13,37.68
731,-122.13,37.68
732,-122.13,37.68
733,-122.14,37.68
734,-122.14,37.67
735,-122.15,37.67
736,-122.14,37.67
737,-122.13,37.67
738,-122.14,37.67
739,-122.14,37.67
740,-122.13,37.67
741,-122.12,37.67
742,-122.13,37.67
743,-122.11,37.67
744,-122.11,37.67
745,-122.09,37.67
746,-122.09,37.67
747,-122.09,37.66
748,-122.09,37.66
749,-122.05,37.68
750,-122.06,37.67
751,-122.07,37.67
752,-122.07,37.67
753,-122.07,37.67
754,-122.04,37.67
755,-122.04,37.67
756,-122.04,37.66
757,-122.07,37.66
758,-122.07,37.66
759,-122.08,37.66
760,-122.07,37.65
761,-122.08,37.65
762,-122.08,37.65
763,-122.08,37.66
764,-122.1,37.66
765,-122.1,37.66
766,-122.1,37.66
767,-122.09,37.65
768,-122.09,37.65
769,-122.09,37.65
770,-122.1,37.66
771,-122.11,37.66
772,-122.1,37.66
773,-122.11,37.66
774,-122.11,37.66
775,-122.1,37.65
776,-122.1,37.64
777,-122.1,37.65
778,-122.1,37.65
779,-122.12,37.65
780,-122.1,37.63
781,-122.1,37.61
782,-122.13,37.66
783,-122.11,37.65
784,-122.11,37.64
785,-122.11,37.64
786,-122.12,37.64
787,-122.09,37.63
788,-122.09,37.64
789,-122.1,37.63
790,-122.08,37.64
791,-122.08,37.64
792,-122.09,37.64
793,-122.09,37.64
794,-122.08,37.64
795,-122.08,37.64
796,-122.08,37.63
797,-122.08,37.63
798,-122.08,37.64
799,-122.07,37.64
800,-122.07,37.63
801,-122.07,37.64
802,-122.06,37.64
803,-122.06,37.64
804,-122.06,37.65
805,-122.06,37.64
806,-122.04,37.63
807,-122.03,37.62
808,-122.03,37.62
809,-122.04,37.62
810,-122.04,37.62
811,-122.04,37.62
812,-122.03,37.62
813,-122.03,37.61
814,-122.03,37.61
815,-122.04,37.61
816,-122.04,37.62
817,-122.08,37.63
818,-122.08,37.62
819,-122.07,37.63
820,-122.07,37.63
821,-122.06,37.63
822,-122.06,37.63
823,-122.05,37.61
824,-122.08,37.63
825,-122.08,37.63
826,-122.09,37.63
827,-122.09,37.63
828,-122.08,37.62
829,-122.08,37.61
830,-121.99,37.61
831,-122.02,37.6
832,-122.02,37.6
833,-122.02,37.6
834,-122.02,37.6
835,-122.03,37.61
836,-122.04,37.6
837,-122.06,37.6
838,-122.08,37.61
839,-122.06,37.6
840,-122.06,37.6
841,-122.08,37.59
842,-122.07,37.59
843,-122.08,37.58
844,-122.07,37.58
845,-122.07,37.58
846,-122.08,37.58
847,-122.07,37.59
848,-122.07,37.58
849,-122.04,37.59
850,-122.05,37.59
851,-122.03,37.6
852,-122.02,37.59
853,-122.03,37.59
854,-122.01,37.59
855,-122.02,37.58
856,-122.01,37.58
857,-122.09,37.6
858,-122.08,37.6
859,-121.97,37.57
860,-121.96,37.58
861,-121.98,37.58
862,-121.99,37.58
863,-122.0,37.58
864,-122.01,37.57
865,-122.04,37.58
866,-122.04,37.57
867,-122.07,37.57
868,-122.06,37.58
869,-122.05,37.57
870,-121.93,37.49
871,-122.07,37.52
872,-122.02,37.56
873,-122.02,37.56
874,-122.03,37.56
875,-122.03,37.56
876,-122.01,37.56
877,-122.01,37.55
878,-122.02,37.55
879,-122.01,37.56
880,-121.99,37.56
881,-121.99,37.56
882,-121.96,37.55
883,-121.97,37.56
884,-121.97,37.54
885,-121.97,37.55
886,-121.98,37.54
887,-121.99,37.55
888,-121.94,37.56
889,-121.95,37.55
890,-121.93,37.54
891,-121.94,37.54
892,-121.94,37.53
893,-121.95,37.54
894,-121.94,37.54
895,-121.96,37.54
896,-121.96,37.53
897,-121.96,37.53
898,-121.96,37.53
899,-121.97,37.54
900,-121.97,37.53
901,-121.97,37.53
902,-121.98,37.53
903,-121.98,37.53
904,-121.99,37.54
905,-121.99,37.54
906,-121.99,37.54
907,-121.99,37.55
908,-122.0,37.54
909,-122.01,37.55
910,-122.0,37.55
911,-122.01,37.54
912,-122.0,37.54
913,-122.01,37.53
914,-121.99,37.53
915,-121.97,37.52
916,-121.97,37.51
917,-121.97,37.52
918,-121.95,37.52
919,-121.96,37.51
920,-121.96,37.52
921,-121.93,37.53
922,-121.92,37.53
923,-121.89,37.49
924,-121.92,37.49
925,-121.92,37.48
926,-121.92,37.47
927,-121.91,37.47
928,-122.03,37.55
929,-122.03,37.55
930,-122.04,37.55
931,-122.04,37.54
932,-122.05,37.54
933,-122.05,37.55
934,-122.04,37.53
935,-122.04,37.5
936,-122.06,37.54
937,-122.03,37.54
938,-122.03,37.54
939,-122.04,37.53
940,-122.02,37.54
941,-122.03,37.54
942,-122.03,37.53
943,-122.01,37.53
944,-122.02,37.53
945,-122.0,37.51
946,-121.92,37.72
947,-121.92,37.72
948,-121.91,37.71
949,-121.93,37.72
950,-121.93,37.72
951,-121.93,37.71
952,-121.94,37.71
953,-121.96,37.71
954,-121.92,37.64
955,-121.93,37.66
956,-121.92,37.69
957,-121.9,37.66
958,-121.92,37.68
959,-121.93,37.7
960,-121.91,37.69
961,-121.91,37.68
962,-121.91,37.68
963,-121.91,37.69
964,-121.89,37.68
965,-121.88,37.68
966,-121.89,37.68
967,-121.88,37.67
968,-121.88,37.67
969,-121.89,37.67
970,-121.89,37.67
971,-121.9,37.67
972,-121.9,37.67
973,-121.88,37.66
974,-121.87,37.66
975,-121.87,37.66
976,-121.89,37.66
977,-121.88,37.64
978,-121.87,37.57
979,-121.87,37.67
980,-121.87,37.67
981,-121.85,37.68
982,-121.85,37.66
983,-121.86,37.66
984,-121.87,37.66
985,-121.84,37.66
986,-121.85,37.72
987,-121.82,37.73
988,-121.86,37.7
989,-121.89,37.69
990,-121.77,37.65
991,-121.62,37.61
992,-121.61,37.77
993,-121.72,37.7
994,-121.73,37.71
995,-121.75,37.71
996,-121.77,37.74
997,-121.8,37.7
998,-121.8,37.69
999,-121.82,37.69
1000,-121.76,37.69
1001,-121.77,37.68
1002,-121.78,37.69
1003,-121.78,37.69
1004,-121.79,37.69
1005,-121.76,37.7
1006,-121.75,37.69
1007,-121.75,37.68
1008,-121.76,37.68
1009,-121.76,37.68
1010,-121.73,37.68
1011,-121.78,37.68
1012,-121.77,37.68
1013,-121.76,37.68
1014,-121.77,37.68
1015,-121.77,37.67
1016,-121.76,37.67
1017,-121.78,37.67
1018,-121.79,37.67
1019,-121.78,37.67
1020,-121.78,37.66
1021,-121.79,37.66
1022,-119.78,38.69
1023,-119.93,38.72
1024,-120.0,38.52
1025,-120.56,38.48
1026,-120.59,38.45
1027,-120.55,38.46
1028,-120.55,38.45
1029,-120.55,38.43
1030,-120.25,38.55
1031,-120.79,38.54
1032,-120.8,38.51
1033,-120.65,38.5
1034,-120.76,38.47
1035,-120.88,38.45
1036,-120.79,38.43
1037,-120.69,38.44
1038,-120.93,38.5
1039,-120.97,38.42
1040,-120.87,38.37
1041,-120.98,38.34
1042,-120.88,38.32
1043,-120.93,38.26
1044,-120.72,38.42
1045,-120.77,38.38
1046,-120.72,38.38
1047,-120.66,38.4
1048,-120.65,38.42
1049,-120.62,38.39
1050,-120.69,38.36
1051,-120.71,38.34
1052,-120.8,38.31
1053,-121.83,39.76
1054,-121.82,39.76
1055,-121.86,39.78
1056,-121.85,39.77
1057,-121.84,39.76
1058,-121.86,39.76
1059,-121.89,39.76
1060,-121.88,39.74
1061,-121.87,39.75
1062,-121.86,39.75
1063,-121.87,39.74
1064,-121.85,39.75
1065,-121.85,39.74
1066,-121.85,39.74
1067,-121.85,39.73
1068,-121.85,39.73
1069,-121.86,39.74
1070,-121.84,39.75
1071,-121.84,39.74
1072,-121.83,39.74
1073,-121.8,39.75
1074,-121.82,39.75
1075,-121.82,39.75
1076,-121.8,39.75
1077,-121.79,39.73
1078,-121.78,39.71
1079,-121.82,39.73
1080,-121.84,39.73
1081,-121.84,39.73
1082,-121.84,39.73
1083,-121.84,39.72
1084,-121.84,39.73
1085,-121.83,39.73
1086,-121.85,39.72
1087,-121.83,39.72
1088,-121.81,39.7
1089,-121.82,39.73
1090,-121.82,39.72
1091,-121.81,39.71
1092,-121.87,39.82
1093,-121.89,39.71
1094,-121.97,39.79
1095,-121.84,39.68
1096,-121.8,39.64
1097,-121.77,39.66
1098,-121.74,39.59
1099,-121.9,39.59
1100,-121.75,39.88
1101,-121.68,39.82
1102,-121.54,40.06
1103,-121.51,39.97
1104,-121.59,39.86
1105,-121.58,39.83
1106,-121.6,39.8
1107,-121.62,39.79
1108,-121.59,39.82
1109,-121.6,39.83
1110,-121.63,39.82
1111,-121.6,39.79
1112,-121.59,39.79
1113,-121.59,39.78
1114,-121.59,39.78
1115,-121.6,39.77
1116,-121.61,39.77
1117,-121.63,39.78
1118,-121.57,39.8
1119,-121.57,39.78
1120,-121.59,39.77
1121,-121.58,39.79
1122,-121.57,39.76
1123,-121.58,39.76
1124,-121.58,39.76
1125,-121.59,39.75
1126,-121.6,39.77
1127,-121.6,39.76
1128,-121.61,39.76
1129,-121.62,39.77
1130,-121.65,39.76
1131,-121.63,39.76
1132,-121.62,39.76
1133,-121.62,39.75
1134,-121.63,39.75
1135,-121.64,39.74
1136,-121.71,39.71
1137,-121.66,39.66
1138,-121.56,39.69
1139,-121.57,39.74
1140,-121.59,39.74
1141,-121.6,39.75
1142,-121.6,39.68
1143,-121.5,39.83
1144,-121.41,39.72
1145,-121.39,39.61
1146,-121.24,39.65
1147,-121.19,39.55
1148,-121.36,39.52
1149,-121.56,39.52
1150,-121.56,39.52
1151,-121.56,39.53
1152,-121.54,39.6
1153,-121.46,39.54
1154,-121.49,39.52
1155,-121.44,39.5
1156,-121.47,39.49
1157,-121.47,39.51
1158,-121.53,39.53
1159,-121.53,39.52
1160,-121.53,39.52
1161,-121.54,39.51
1162,-121.52,39.51
1163,-121.55,39.51
1164,-121.55,39.51
1165,-121.55,39.51
1166,-121.56,39.51
1167,-121.56,39.51
1168,-121.57,39.5
1169,-121.58,39.52
1170,-121.58,39.51
1171,-121.58,39.5
1172,-121.62,39.5
1173,-121.61,39.52
1174,-121.65,39.53
1175,-121.57,39.48
1176,-121.55,39.5
1177,-121.54,39.5
1178,-121.53,39.49
1179,-121.54,39.48
1180,-121.54,39.47
1181,-121.55,39.48
1182,-121.49,39.49
1183,-121.52,39.5
1184,-121.52,39.49
1185,-121.52,39.48
1186,-121.55,39.45
1187,-121.53,39.44
1188,-121.55,39.44
1189,-121.52,39.43
1190,-121.46,39.4
1191,-121.39,39.39
1192,-121.54,39.33
1193,-121.59,39.39
1194,-121.67,39.37
1195,-121.65,39.35
1196,-121.67,39.34
1197,-121.65,39.32
1198,-121.69,39.36
1199,-121.7,39.37
1200,-121.7,39.36
1201,-121.7,39.36
1202,-121.69,39.36
1203,-121.74,39.38
1204,-121.8,39.33
1205,-121.71,39.42
1206,-121.71,39.41
1207,-121.75,39.4
1208,-121.79,39.48
1209,-120.46,38.15
1210,-120.55,38.12
1211,-120.56,38.09
1212,-120.55,38.07
1213,-120.54,38.07
1214,-120.67,37.97
1215,-120.46,38.09
1216,-120.79,38.24
1217,-120.9,38.2
1218,-120.88,38.16
1219,-120.91,38.11
1220,-120.76,38.12
1221,-120.65,38.28
1222,-120.72,38.24
1223,-120.67,38.19
1224,-120.57,38.2
1225,-120.43,38.25
1226,-120.56,38.39
1227,-120.54,38.41
1228,-120.42,38.42
1229,-120.41,38.33
1230,-120.55,38.31
1231,-120.57,38.35
1232,-120.36,38.21
1233,-120.34,38.23
1234,-120.33,38.26
1235,-120.34,38.25
1236,-120.37,38.23
1237,-120.37,38.25
1238,-120.27,38.29
1239,-120.27,38.31
1240,-120.19,38.42
1241,-121.91,39.03
1242,-122.0,38.99
1243,-122.13,39.0
1244,-121.99,39.15
1245,-122.04,39.22
1246,-122.08,39.25
1247,-122.33,39.1
