,ride_id,taxi_id,driver_id,pickup_datetime,payment_type,tip,tolls,total_fare
49,50,2013000117,2013000117,1577881000,CARD,32.0,3.0,117.0
50,51,2013000143,2013000143,1577881020,CASH,21.0,0.0,72.0
51,52,2013000071,2013000071,1577881040,CARD,31.0,0.0,109.0
52,53,2013000096,2013000096,1577881060,CASH,20.0,0.0,69.0
53,54,2013000019,2013000019,1577881080,CARD,25.0,0.0,89.0
54,55,2013000045,2013000045,1577881100,CASH,36.0,0.0,128.0
55,56,2013000173,2013000173,1577881120,CARD,27.0,0.0,94.0
56,57,2013000198,2013000198,1577881140,CASH,36.0,0.0,129.0
57,58,2013000122,2013000122,1577881160,CARD,0.0,0.0,46.0
58,59,2013000147,2013000147,1577881180,CASH,16.0,0.0,56.0
59,60,2013000075,2013000075,1577881200,CARD,43.0,4.0,159.0
60,61,2013000100,2013000100,1577881220,CASH,17.0,0.0,60.0
61,62,2013000024,2013000024,1577881240,CARD,30.0,0.0,105.0
62,63,2013000049,2013000049,1577881260,CASH,19.0,0.0,65.0
63,64,2013000195,2013000195,1577881280,CARD,14.0,0.0,47.0
64,65,2013000020,2013000020,1577881300,CASH,23.0,0.0,82.0
65,66,2013000144,2013000144,1577881320,CARD,22.0,0.0,78.0
66,67,2013000169,2013000169,1577881340,CASH,13.0,0.0,44.0
67,68,2013000097,2013000097,1577881360,CARD,21.0,0.0,74.0
68,69,2013000122,2013000122,1577881380,CASH,12.0,0.0,39.0
69,70,2013000046,2013000046,1577881400,CARD,35.0,4.0,128.0
70,71,2013000071,2013000071,1577881420,CASH,33.0,0.0,118.0
71,72,2013000199,2013000199,1577881440,CARD,36.0,0.0,128.0
72,73,2013000025,2013000025,1577881460,CASH,32.0,0.0,113.0
73,74,2013000148,2013000148,1577881480,CARD,15.0,0.0,51.0
74,75,2013000174,2013000174,1577881500,CASH,24.0,0.0,86.0
75,76,2013000101,2013000101,1577881520,CARD,16.0,0.0,54.0
76,77,2013000127,2013000127,1577881540,CASH,26.0,0.0,91.0
77,78,2013000050,2013000050,1577881560,CARD,20.0,0.0,71.0
78,79,2013000076,2013000076,1577881580,CASH,3.0,0.0,8.0
79,80,2013000186,2013000186,1577881600,CARD,32.0,3.0,116.0
80,81,2013000011,2013000011,1577881620,CASH,36.0,0.0,128.0
81,82,2013000135,2013000135,1577881640,CARD,26.0,0.0,92.0
82,83,2013000160,2013000160,1577881660,CASH,20.0,0.0,70.0
83,84,2013000088,2013000088,1577881680,CARD,11.0,0.0,37.0
84,85,2013000114,2013000114,1577881700,CASH,21.0,0.0,74.0
85,86,2013000037,2013000037,1577881720,CARD,25.0,0.0,87.0
86,87,2013000063,2013000063,1577881740,CASH,15.0,0.0,51.0
87,88,2013000190,2013000190,1577881760,CARD,24.0,0.0,83.0
88,89,2013000016,2013000016,1577881780,CASH,14.0,0.0,48.0
89,90,2013000139,2013000139,1577881800,CARD,33.0,3.0,120.0
90,91,2013000165,2013000165,1577881820,CASH,35.0,0.0,125.0
91,92,2013000093,2013000093,1577881840,CARD,34.0,0.0,121.0
92,93,2013000118,2013000118,1577881860,CASH,34.0,0.0,121.0
93,94,2013000041,2013000041,1577881880,CARD,13.0,0.0,43.0
94,95,2013000067,2013000067,1577881900,CASH,22.0,0.0,78.0
95,96,2013000012,2013000012,1577881920,CARD,37.0,0.0,132.0
96,97,2013000038,2013000038,1577881940,CASH,27.0,0.0,95.0
97,98,2013000161,2013000161,1577881960,CARD,18.0,0.0,63.0
98,99,2013000187,2013000187,1577881980,CASH,29.0,0.0,104.0
99,100,2013000115,2013000115,1577882000,CARD,19.0,3.0,70.0
100,101,2013000140,2013000140,1577882020,CASH,31.0,0.0,109.0
101,102,2013000063,2013000063,1577882040,CARD,17.0,0.0,58.0
102,103,2013000089,2013000089,1577882060,CASH,41.0,0.0,147.0
103,104,2013000017,2013000017,1577882080,CARD,16.0,0.0,54.0
104,105,2013000042,2013000042,1577882100,CASH,13.0,0.0,44.0
105,106,2013000166,2013000166,1577882120,CARD,37.0,0.0,131.0
106,107,2013000191,2013000191,1577882140,CASH,26.0,0.0,91.0
107,108,2013000119,2013000119,1577882160,CARD,36.0,0.0,128.0
108,109,2013000144,2013000144,1577882180,CASH,25.0,0.0,87.0
109,110,2013000068,2013000068,1577882200,CARD,20.0,3.0,74.0
110,111,2013000093,2013000093,1577882220,CASH,32.0,0.0,114.0
111,112,2013000004,2013000004,1577882240,CARD,19.0,0.0,67.0
112,113,2013000029,2013000029,1577882260,CASH,14.0,0.0,49.0
113,114,2013000152,2013000152,1577882280,CARD,36.0,0.0,129.0
114,115,2013000178,2013000178,1577882300,CASH,31.0,0.0,109.0
115,116,2013000106,2013000106,1577882320,CARD,37.0,0.0,131.0
116,117,2013000131,2013000131,1577882340,CASH,29.0,0.0,104.0
117,118,2013000055,2013000055,1577882360,CARD,17.0,0.0,58.0
118,119,2013000080,2013000080,1577882380,CASH,27.0,0.0,95.0
119,120,2013000008,2013000008,1577882400,CARD,18.0,3.0,64.0
120,121,2013000033,2013000033,1577882420,CASH,28.0,0.0,99.0
121,122,2013000157,2013000157,1577882440,CARD,18.0,0.0,64.0
122,123,2013000182,2013000182,1577882460,CASH,20.0,0.0,68.0
123,124,2013000110,2013000110,1577882480,CARD,18.0,0.0,61.0
124,125,2013000136,2013000136,1577882500,CASH,26.0,0.0,91.0
125,126,2013000059,2013000059,1577882520,CARD,37.0,0.0,132.0
126,127,2013000085,2013000085,1577882540,CASH,28.0,0.0,100.0
127,128,2013000089,2013000089,1577882560,CARD,35.0,0.0,125.0
128,129,2013000115,2013000115,1577882580,CASH,25.0,0.0,89.0
129,130,2013000038,2013000038,1577882600,CARD,20.0,3.0,72.0
130,131,2013000064,2013000064,1577882620,CASH,30.0,0.0,107.0
131,132,2013000191,2013000191,1577882640,CARD,21.0,0.0,72.0
132,133,2013000017,2013000017,1577882660,CASH,31.0,0.0,111.0
133,134,2013000140,2013000140,1577882680,CARD,15.0,0.0,52.0
134,135,2013000166,2013000166,1577882700,CASH,0.0,0.0,72.0
135,136,2013000094,2013000094,1577882720,CARD,14.0,0.0,49.0
136,137,2013000119,2013000119,1577882740,CASH,11.0,0.0,37.0
137,138,2013000042,2013000042,1577882760,CARD,34.0,0.0,122.0
138,139,2013000068,2013000068,1577882780,CASH,24.0,0.0,85.0
139,140,2013000196,2013000196,1577882800,CARD,34.0,3.0,123.0
140,141,2013000021,2013000021,1577882820,CASH,23.0,0.0,81.0
141,142,2013000145,2013000145,1577882840,CARD,22.0,0.0,76.0
142,143,2013000170,2013000170,1577882860,CASH,33.0,0.0,116.0
143,144,2013000080,2013000080,1577882880,CARD,18.0,0.0,63.0
144,145,2013000106,2013000106,1577882900,CASH,2.0,0.0,35.0
145,146,2013000029,2013000029,1577882920,CARD,35.0,0.0,126.0
146,147,2013000055,2013000055,1577882940,CASH,29.0,0.0,102.0
147,148,2013000183,2013000183,1577882960,CARD,35.0,0.0,126.0
148,149,2013000008,2013000008,1577882980,CASH,27.0,0.0,97.0
149,150,2013000131,2013000131,1577883000,CARD,18.0,3.0,64.0
150,151,2013000157,2013000157,1577883020,CASH,28.0,0.0,99.0
151,152,2013000085,2013000085,1577883040,CARD,19.0,0.0,65.0
152,153,2013000110,2013000110,1577883060,CASH,29.0,0.0,103.0
153,154,2013000034,2013000034,1577883080,CARD,17.0,0.0,59.0
154,155,2013000059,2013000059,1577883100,CASH,12.0,0.0,40.0
155,156,2013000187,2013000187,1577883120,CARD,16.0,0.0,56.0
156,157,2013000012,2013000012,1577883140,CASH,14.0,0.0,47.0
157,158,2013000136,2013000136,1577883160,CARD,35.0,0.0,126.0
158,159,2013000161,2013000161,1577883180,CASH,26.0,0.0,93.0
159,160,2013000107,2013000107,1577883200,CARD,25.0,3.0,90.0
160,161,2013000132,2013000132,1577883220,CASH,16.0,0.0,55.0
161,162,2013000056,2013000056,1577883240,CARD,31.0,0.0,110.0
162,163,2013000081,2013000081,1577883260,CASH,20.0,0.0,69.0
163,164,2013000009,2013000009,1577883280,CARD,30.0,0.0,106.0
164,165,2013000034,2013000034,1577883300,CASH,19.0,0.0,66.0
165,166,2013000158,2013000158,1577883320,CARD,26.0,0.0,92.0
166,167,2013000183,2013000183,1577883340,CASH,35.0,0.0,126.0
167,168,2013000111,2013000111,1577883360,CARD,27.0,0.0,96.0
168,169,2013000137,2013000137,1577883380,CASH,36.0,0.0,128.0
169,170,2013000060,2013000060,1577883400,CARD,3.0,2.0,10.0
170,171,2013000086,2013000086,1577883420,CASH,17.0,0.0,58.0
171,172,2013000013,2013000013,1577883440,CARD,18.0,0.0,61.0
172,173,2013000039,2013000039,1577883460,CASH,18.0,0.0,62.0
173,174,2013000162,2013000162,1577883480,CARD,29.0,0.0,102.0
174,175,2013000188,2013000188,1577883500,CASH,18.0,0.0,62.0
175,176,2013000098,2013000098,1577883520,CARD,23.0,0.0,80.0
176,177,2013000123,2013000123,1577883540,CASH,33.0,0.0,119.0
177,178,2013000047,2013000047,1577883560,CARD,13.0,0.0,45.0
178,179,2013000072,2013000072,1577883580,CASH,13.0,0.0,44.0
179,180,2013000000,2013000000,1577883600,CARD,12.0,3.0,43.0
180,181,2013000026,2013000026,1577883620,CASH,14.0,0.0,48.0
181,182,2013000149,2013000149,1577883640,CARD,33.0,0.0,117.0
182,183,2013000175,2013000175,1577883660,CASH,22.0,0.0,77.0
183,184,2013000102,2013000102,1577883680,CARD,32.0,0.0,113.0
184,185,2013000128,2013000128,1577883700,CASH,21.0,0.0,73.0
185,186,2013000051,2013000051,1577883720,CARD,24.0,0.0,84.0
186,187,2013000077,2013000077,1577883740,CASH,34.0,0.0,122.0
187,188,2013000005,2013000005,1577883760,CARD,25.0,0.0,88.0
188,189,2013000030,2013000030,1577883780,CASH,35.0,0.0,125.0
189,190,2013000153,2013000153,1577883800,CARD,7.0,2.0,24.0
190,191,2013000179,2013000179,1577883820,CASH,15.0,0.0,51.0
191,192,2013000124,2013000124,1577883840,CARD,32.0,0.0,113.0
192,193,2013000150,2013000150,1577883860,CASH,35.0,0.0,124.0
193,194,2013000073,2013000073,1577883880,CARD,2.0,0.0,5.0
194,195,2013000099,2013000099,1577883900,CASH,21.0,0.0,73.0
195,196,2013000027,2013000027,1577883920,CARD,12.0,0.0,40.0
196,197,2013000052,2013000052,1577883940,CASH,22.0,0.0,77.0
197,198,2013000175,2013000175,1577883960,CARD,24.0,0.0,84.0
198,199,2013000001,2013000001,1577883980,CASH,14.0,0.0,48.0
199,200,2013000129,2013000129,1577884000,CARD,23.0,3.0,83.0
200,201,2013000154,2013000154,1577884020,CASH,13.0,0.0,44.0
201,202,2013000078,2013000078,1577884040,CARD,33.0,0.0,117.0
202,203,2013000103,2013000103,1577884060,CASH,34.0,0.0,121.0
203,204,2013000031,2013000031,1577884080,CARD,34.0,0.0,121.0
204,205,2013000056,2013000056,1577884100,CASH,33.0,0.0,117.0
205,206,2013000180,2013000180,1577884120,CARD,13.0,0.0,45.0
206,207,2013000005,2013000005,1577884140,CASH,23.0,0.0,80.0
207,208,2013000116,2013000116,1577884160,CARD,27.0,0.0,96.0
208,209,2013000141,2013000141,1577884180,CASH,17.0,0.0,59.0
209,210,2013000064,2013000064,1577884200,CARD,28.0,3.0,103.0
210,211,2013000090,2013000090,1577884220,CASH,36.0,0.0,128.0
211,212,2013000018,2013000018,1577884240,CARD,30.0,0.0,105.0
212,213,2013000043,2013000043,1577884260,CASH,36.0,0.0,127.0
213,214,2013000167,2013000167,1577884280,CARD,12.0,0.0,40.0
214,215,2013000192,2013000192,1577884300,CASH,19.0,0.0,66.0
215,216,2013000120,2013000120,1577884320,CARD,16.0,0.0,55.0
216,217,2013000145,2013000145,1577884340,CASH,20.0,0.0,69.0
217,218,2013000069,2013000069,1577884360,CARD,26.0,0.0,92.0
218,219,2013000094,2013000094,1577884380,CASH,16.0,0.0,55.0
219,220,2013000022,2013000022,1577884400,CARD,25.0,3.0,91.0
220,221,2013000048,2013000048,1577884420,CASH,15.0,0.0,52.0
221,222,2013000171,2013000171,1577884440,CARD,31.0,0.0,109.0
222,223,2013000197,2013000197,1577884460,CASH,35.0,0.0,125.0
223,224,2013000142,2013000142,1577884480,CARD,19.0,0.0,65.0
224,225,2013000167,2013000167,1577884500,CASH,9.0,0.0,29.0
225,226,2013000091,2013000091,1577884520,CARD,36.0,0.0,128.0
226,227,2013000116,2013000116,1577884540,CASH,30.0,0.0,105.0
227,228,2013000044,2013000044,1577884560,CARD,36.0,0.0,129.0
228,229,2013000070,2013000070,1577884580,CASH,28.0,0.0,100.0
229,230,2013000193,2013000193,1577884600,CARD,17.0,3.0,62.0
230,231,2013000019,2013000019,1577884620,CASH,28.0,0.0,98.0
231,232,2013000146,2013000146,1577884640,CARD,18.0,0.0,63.0
232,233,2013000172,2013000172,1577884660,CASH,29.0,0.0,102.0
233,234,2013000095,2013000095,1577884680,CARD,18.0,0.0,62.0
234,235,2013000121,2013000121,1577884700,CASH,12.0,0.0,41.0
235,236,2013000049,2013000049,1577884720,CARD,17.0,0.0,59.0
236,237,2013000074,2013000074,1577884740,CASH,25.0,0.0,88.0
237,238,2013000197,2013000197,1577884760,CARD,36.0,0.0,129.0
238,239,2013000023,2013000023,1577884780,CASH,27.0,0.0,96.0
239,240,2013000133,2013000133,1577884800,CARD,14.0,3.0,51.0
240,241,2013000159,2013000159,1577884820,CASH,24.0,0.0,84.0
241,242,2013000082,2013000082,1577884840,CARD,22.0,0.0,76.0
242,243,2013000108,2013000108,1577884860,CASH,12.0,0.0,40.0
243,244,2013000035,2013000035,1577884880,CARD,21.0,0.0,73.0
244,245,2013000061,2013000061,1577884900,CASH,35.0,0.0,124.0
245,246,2013000184,2013000184,1577884920,CARD,35.0,0.0,124.0
246,247,2013000010,2013000010,1577884940,CASH,32.0,0.0,114.0
247,248,2013000138,2013000138,1577884960,CARD,35.0,0.0,126.0
248,249,2013000163,2013000163,1577884980,CASH,31.0,0.0,110.0
249,250,2013000086,2013000086,1577885000,CARD,15.0,3.0,55.0
250,251,2013000112,2013000112,1577885020,CASH,25.0,0.0,88.0
251,252,2013000040,2013000040,1577885040,CARD,16.0,0.0,56.0
252,253,2013000065,2013000065,1577885060,CASH,26.0,0.0,93.0
253,254,2013000189,2013000189,1577885080,CARD,20.0,0.0,69.0
254,255,2013000014,2013000014,1577885100,CASH,22.0,0.0,77.0
255,256,2013000019,2013000019,1577885120,CARD,17.0,0.0,60.0
256,257,2013000044,2013000044,1577885140,CASH,19.0,0.0,67.0
257,258,2013000168,2013000168,1577885160,CARD,35.0,0.0,124.0
258,259,2013000193,2013000193,1577885180,CASH,28.0,0.0,98.0
259,260,2013000121,2013000121,1577885200,CARD,35.0,4.0,128.0
260,261,2013000146,2013000146,1577885220,CASH,27.0,0.0,94.0
261,262,2013000070,2013000070,1577885240,CARD,18.0,0.0,63.0
262,263,2013000095,2013000095,1577885260,CASH,29.0,0.0,101.0
263,264,2013000023,2013000023,1577885280,CARD,19.0,0.0,66.0
264,265,2013000049,2013000049,1577885300,CASH,30.0,0.0,105.0
265,266,2013000172,2013000172,1577885320,CARD,16.0,0.0,56.0
266,267,2013000198,2013000198,1577885340,CASH,20.0,0.0,69.0
267,268,2013000125,2013000125,1577885360,CARD,16.0,0.0,54.0
268,269,2013000151,2013000151,1577885380,CASH,0.0,0.0,20.0
269,270,2013000074,2013000074,1577885400,CARD,34.0,4.0,126.0
270,271,2013000100,2013000100,1577885420,CASH,25.0,0.0,89.0
271,272,2013000010,2013000010,1577885440,CARD,15.0,0.0,52.0
272,273,2013000035,2013000035,1577885460,CASH,25.0,0.0,88.0
273,274,2013000159,2013000159,1577885480,CARD,20.0,0.0,71.0
274,275,2013000184,2013000184,1577885500,CASH,18.0,0.0,61.0
275,276,2013000112,2013000112,1577885520,CARD,19.0,0.0,67.0
276,277,2013000138,2013000138,1577885540,CASH,32.0,0.0,113.0
277,278,2013000061,2013000061,1577885560,CARD,34.0,0.0,121.0
278,279,2013000087,2013000087,1577885580,CASH,30.0,0.0,106.0
279,280,2013000014,2013000014,1577885600,CARD,35.0,4.0,127.0
280,281,2013000040,2013000040,1577885620,CASH,29.0,0.0,102.0
281,282,2013000163,2013000163,1577885640,CARD,16.0,0.0,56.0
282,283,2013000189,2013000189,1577885660,CASH,26.0,0.0,92.0
283,284,2013000117,2013000117,1577885680,CARD,17.0,0.0,59.0
284,285,2013000142,2013000142,1577885700,CASH,27.0,0.0,96.0
285,286,2013000065,2013000065,1577885720,CARD,18.0,0.0,63.0
286,287,2013000091,2013000091,1577885740,CASH,29.0,0.0,102.0
287,288,2013000036,2013000036,1577885760,CARD,23.0,0.0,81.0
288,289,2013000062,2013000062,1577885780,CASH,33.0,0.0,118.0
289,290,2013000185,2013000185,1577885800,CARD,12.0,3.0,43.0
290,291,2013000011,2013000011,1577885820,CASH,13.0,0.0,45.0
291,292,2013000139,2013000139,1577885840,CARD,7.0,0.0,22.0
292,293,2013000164,2013000164,1577885860,CASH,14.0,0.0,49.0
293,294,2013000087,2013000087,1577885880,CARD,32.0,0.0,113.0
294,295,2013000113,2013000113,1577885900,CASH,21.0,0.0,74.0
295,296,2013000041,2013000041,1577885920,CARD,31.0,0.0,110.0
296,297,2013000066,2013000066,1577885940,CASH,20.0,0.0,70.0
297,298,2013000190,2013000190,1577885960,CARD,24.0,0.0,85.0
298,299,2013000015,2013000015,1577885980,CASH,34.0,0.0,121.0
299,300,2013000143,2013000143,1577886000,CARD,25.0,3.0,92.0
300,301,2013000168,2013000168,1577886020,CASH,35.0,0.0,124.0
301,302,2013000092,2013000092,1577886040,CARD,14.0,0.0,48.0
302,303,2013000117,2013000117,1577886060,CASH,16.0,0.0,54.0
303,304,2013000028,2013000028,1577886080,CARD,34.0,0.0,121.0
304,305,2013000053,2013000053,1577886100,CASH,24.0,0.0,85.0
305,306,2013000176,2013000176,1577886120,CARD,20.0,0.0,70.0
306,307,2013000002,2013000002,1577886140,CASH,31.0,0.0,109.0
307,308,2013000130,2013000130,1577886160,CARD,21.0,0.0,74.0
308,309,2013000155,2013000155,1577886180,CASH,32.0,0.0,113.0
309,310,2013000079,2013000079,1577886200,CARD,14.0,3.0,52.0
310,311,2013000104,2013000104,1577886220,CASH,9.0,0.0,29.0
311,312,2013000032,2013000032,1577886240,CARD,13.0,0.0,45.0
312,313,2013000057,2013000057,1577886260,CASH,12.0,0.0,40.0
313,314,2013000181,2013000181,1577886280,CARD,33.0,0.0,118.0
314,315,2013000006,2013000006,1577886300,CASH,23.0,0.0,81.0
315,316,2013000134,2013000134,1577886320,CARD,33.0,0.0,116.0
316,317,2013000160,2013000160,1577886340,CASH,22.0,0.0,78.0
317,318,2013000083,2013000083,1577886360,CARD,22.0,0.0,77.0
318,319,2013000109,2013000109,1577886380,CASH,33.0,0.0,116.0
319,320,2013000054,2013000054,1577886400,CARD,26.0,3.0,96.0
320,321,2013000079,2013000079,1577886420,CASH,16.0,0.0,56.0
321,322,2013000003,2013000003,1577886440,CARD,29.0,0.0,102.0
322,323,2013000028,2013000028,1577886460,CASH,35.0,0.0,125.0
323,324,2013000156,2013000156,1577886480,CARD,30.0,0.0,106.0
324,325,2013000182,2013000182,1577886500,CASH,35.0,0.0,124.0
325,326,2013000105,2013000105,1577886520,CARD,7.0,0.0,21.0
326,327,2013000131,2013000131,1577886540,CASH,19.0,0.0,67.0
327,328,2013000058,2013000058,1577886560,CARD,33.0,0.0,118.0
328,329,2013000084,2013000084,1577886580,CASH,20.0,0.0,71.0
329,330,2013000007,2013000007,1577886600,CARD,25.0,3.0,92.0
330,331,2013000033,2013000033,1577886620,CASH,15.0,0.0,52.0
331,332,2013000161,2013000161,1577886640,CARD,24.0,0.0,85.0
332,333,2013000186,2013000186,1577886660,CASH,14.0,0.0,49.0
333,334,2013000109,2013000109,1577886680,CARD,31.0,0.0,110.0
334,335,2013000135,2013000135,1577886700,CASH,34.0,0.0,122.0
335,336,2013000045,2013000045,1577886720,CARD,29.0,0.0,102.0
336,337,2013000071,2013000071,1577886740,CASH,16.0,0.0,56.0
337,338,2013000194,2013000194,1577886760,CARD,30.0,0.0,106.0
338,339,2013000020,2013000020,1577886780,CASH,19.0,0.0,67.0
339,340,2013000147,2013000147,1577886800,CARD,29.0,3.0,105.0
340,341,2013000173,2013000173,1577886820,CASH,18.0,0.0,63.0
341,342,2013000096,2013000096,1577886840,CARD,27.0,0.0,94.0
342,343,2013000122,2013000122,1577886860,CASH,35.0,0.0,124.0
343,344,2013000050,2013000050,1577886880,CARD,28.0,0.0,98.0
344,345,2013000075,2013000075,1577886900,CASH,35.0,0.0,125.0
345,346,2013000198,2013000198,1577886920,CARD,28.0,0.0,99.0
346,347,2013000024,2013000024,1577886940,CASH,17.0,0.0,60.0
347,348,2013000152,2013000152,1577886960,CARD,17.0,0.0,60.0
348,349,2013000177,2013000177,1577886980,CASH,18.0,0.0,63.0
349,350,2013000101,2013000101,1577887000,CARD,28.0,3.0,101.0
350,351,2013000126,2013000126,1577887020,CASH,17.0,0.0,60.0
351,352,2013000072,2013000072,1577887040,CARD,15.0,0.0,51.0
352,353,2013000097,2013000097,1577887060,CASH,25.0,0.0,87.0
353,354,2013000020,2013000020,1577887080,CARD,21.0,0.0,74.0
354,355,2013000046,2013000046,1577887100,CASH,28.0,0.0,99.0
355,356,2013000174,2013000174,1577887120,CARD,20.0,0.0,70.0
356,357,2013000199,2013000199,1577887140,CASH,24.0,0.0,85.0
357,358,2013000123,2013000123,1577887160,CARD,35.0,0.0,123.0
358,359,2013000148,2013000148,1577887180,CASH,31.0,0.0,110.0
359,360,2013000076,2013000076,1577887200,CARD,35.0,4.0,129.0
360,361,2013000101,2013000101,1577887220,CASH,30.0,0.0,106.0
361,362,2013000025,2013000025,1577887240,CARD,16.0,0.0,54.0
362,363,2013000050,2013000050,1577887260,CASH,26.0,0.0,91.0
363,364,2013000178,2013000178,1577887280,CARD,17.0,0.0,58.0
364,365,2013000004,2013000004,1577887300,CASH,27.0,0.0,95.0
365,366,2013000127,2013000127,1577887320,CARD,19.0,0.0,66.0
366,367,2013000153,2013000153,1577887340,CASH,8.0,0.0,27.0
367,368,2013000063,2013000063,1577887360,CARD,32.0,0.0,114.0
368,369,2013000088,2013000088,1577887380,CASH,34.0,0.0,120.0
369,370,2013000012,2013000012,1577887400,CARD,4.0,2.0,14.0
370,371,2013000037,2013000037,1577887420,CASH,21.0,0.0,74.0
371,372,2013000165,2013000165,1577887440,CARD,12.0,0.0,41.0
372,373,2013000190,2013000190,1577887460,CASH,22.0,0.0,78.0
373,374,2013000114,2013000114,1577887480,CARD,23.0,0.0,81.0
374,375,2013000139,2013000139,1577887500,CASH,13.0,0.0,45.0
375,376,2013000067,2013000067,1577887520,CARD,22.0,0.0,77.0
376,377,2013000093,2013000093,1577887540,CASH,12.0,0.0,40.0
377,378,2013000016,2013000016,1577887560,CARD,33.0,0.0,117.0
378,379,2013000042,2013000042,1577887580,CASH,33.0,0.0,117.0
379,380,2013000169,2013000169,1577887600,CARD,34.0,3.0,124.0
380,381,2013000195,2013000195,1577887620,CASH,32.0,0.0,113.0
381,382,2013000118,2013000118,1577887640,CARD,14.0,0.0,47.0
382,383,2013000144,2013000144,1577887660,CASH,24.0,0.0,83.0
383,384,2013000148,2013000148,1577887680,CARD,16.0,0.0,54.0
384,385,2013000174,2013000174,1577887700,CASH,26.0,0.0,91.0
385,386,2013000097,2013000097,1577887720,CARD,20.0,0.0,69.0
386,387,2013000123,2013000123,1577887740,CASH,0.0,0.0,15.0
387,388,2013000051,2013000051,1577887760,CARD,19.0,0.0,65.0
388,389,2013000076,2013000076,1577887780,CASH,10.0,0.0,33.0
389,390,2013000199,2013000199,1577887800,CARD,34.0,3.0,123.0
390,391,2013000025,2013000025,1577887820,CASH,29.0,0.0,102.0
391,392,2013000153,2013000153,1577887840,CARD,34.0,0.0,121.0
392,393,2013000178,2013000178,1577887860,CASH,28.0,0.0,98.0
393,394,2013000102,2013000102,1577887880,CARD,17.0,0.0,58.0
394,395,2013000127,2013000127,1577887900,CASH,27.0,0.0,95.0
395,396,2013000055,2013000055,1577887920,CARD,18.0,0.0,61.0
396,397,2013000080,2013000080,1577887940,CASH,28.0,0.0,98.0
