city_name,date,pm2_5,pm_2_5_previous_1_day,pm_2_5_previous_2_day,pm_2_5_previous_3_day,pm_2_5_previous_4_day,pm_2_5_previous_5_day,pm_2_5_previous_6_day,pm_2_5_previous_7_day,mean_7_days,mean_14_days,mean_28_days,std_7_days,exp_mean_7_days,exp_std_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,std_28_days,exp_mean_28_days,exp_std_28_days,year,day_of_month,month,day_of_week,is_weekend,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week
Napoli,2023-03-20,19.0,20.0,20.0,15.0,8.0,10.0,30.0,22.0,17.857142857142858,15.571428571428571,17.678571428571427,7.537209285241047,17.215648338019403,6.0463766025215335,6.072818199083591,16.804150378606792,6.882709066140954,9.341478871850406,16.956052941556727,7.900693938220638,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Phoenix-Mesa,2023-03-20,21.2,12.9,11.7,19.0,9.7,15.6,12.6,13.2,13.528571428571428,17.764285714285716,15.782142857142857,2.9887089106135822,14.166109994054366,4.276712917666317,6.465840077831179,15.36720926652379,5.459039139588789,6.5367935038648195,15.907544789416391,6.060324043289785,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Athina,2023-03-20,24.0,13.0,11.0,8.0,20.0,23.0,11.0,10.0,13.714285714285714,13.642857142857142,19.75,5.589105048046165,13.419072069358329,4.895831666928794,4.143709650823731,14.785545417382233,6.068926803551129,9.05385123702738,16.6640289373035,7.521487773033325,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Gdansk,2023-03-20,25.0,40.0,26.0,23.0,10.0,7.0,9.0,17.0,18.857142857142858,14.785714285714286,11.892857142857142,11.79588305905315,22.286149498064415,13.268888410323948,9.696776398756061,17.230579945734075,11.768177466114036,8.350379391311272,14.364159534430213,10.232851970371662,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Los Angeles,2023-03-20,27.9,59.0,29.4,31.2,15.8,9.7,22.3,13.8,25.885714285714283,26.142857142857142,23.34642857142857,16.63214042864283,32.26002995721989,18.375212147039136,12.651464754705696,27.78063002901364,15.527977644140627,12.734976105282504,25.53702924973807,13.911709188476,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Milano,2023-03-20,40.0,31.0,28.0,21.0,11.0,3.0,11.0,14.0,17.0,16.928571428571427,24.714285714285715,10.082988974836143,20.758458397413552,10.262989224276373,7.9369078043345,19.47181503734919,10.49452427480385,15.111577957307718,20.81779149402633,12.163241042121314,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Kraków,2023-03-20,50.0,47.0,30.0,38.0,26.0,13.0,12.0,12.0,25.428571428571427,21.357142857142858,23.214285714285715,13.902723268687836,30.02517186610588,14.415460643167725,11.432794549400043,25.97598566420811,14.751376399574232,16.203239600307512,24.486329994010188,15.359298315775481,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Tallinn,2023-03-21,2.0,13.0,7.0,4.0,8.0,2.0,2.0,3.0,5.571428571428571,4.142857142857143,4.071428571428571,4.035556254807297,6.682572469268437,4.534272978381226,3.2071349029490928,5.081391461644313,3.991302620330418,3.4418833284352983,4.357036367489321,3.5748617569316705,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Columbus,2023-03-21,4.4,8.9,5.0,8.3,10.9,7.7,7.7,4.1,7.514285714285714,6.942857142857142,7.935714285714286,2.311153082646965,7.637106139163227,2.181851852247695,2.122666786312512,7.543965452366766,2.280325260482419,2.645221307791801,7.650499429203656,2.4237971462892807,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Stockholm,2023-03-21,6.0,5.0,10.0,18.0,7.0,11.0,3.0,2.0,8.0,6.214285714285714,5.392857142857143,5.5377492419453835,8.060019780763426,5.233633009293081,4.353222880872223,6.951396845519381,4.803906596556084,3.4030409681177556,6.093641515211608,4.234082700214127,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Dallas,2023-03-21,6.1,8.5,6.2,11.0,9.7,7.9,11.7,7.0,8.857142857142858,11.078571428571427,11.539285714285715,2.038673705179533,9.110114566788388,2.551265879607771,3.5303472418944346,10.120596879208774,3.1805628588723653,3.578675451814259,10.881628571677865,3.4308217248850306,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
London,2023-03-21,7.0,7.0,5.0,7.0,8.0,6.0,6.0,5.0,6.285714285714286,7.5,8.035714285714286,1.1126972805283795,6.756743746558504,1.5442055395333878,1.8292495308606316,7.196484482556908,1.9826305753426916,2.8216378597616334,7.546779070020431,2.3581286320130546,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Paris,2023-03-21,7.0,11.0,5.0,4.0,9.0,6.0,6.0,5.0,6.571428571428571,6.571428571428571,12.571428571428571,2.507132682112016,7.290704267728781,3.453624909214278,2.2774576147127763,8.128383828534087,5.422307838252434,9.27932217922301,9.866052891056139,7.388534911407053,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Albuquerque,2023-03-21,7.3,11.5,11.8,9.8,6.0,1.7,5.9,8.0,7.814285714285715,7.342857142857143,7.507142857142857,3.6006613149200675,8.85550181244818,3.45434293958102,2.9656272616337094,7.985133590562046,3.2094433599409835,2.7504785538397267,7.696727751475401,2.9712127988831116,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Phoenix-Mesa,2023-03-21,7.6,21.2,12.9,11.7,19.0,9.7,15.6,12.6,14.671428571428569,17.45,15.882142857142858,4.147173449356523,15.925001304189504,4.953949927615364,6.155141690551829,16.157372094491603,5.48229910654052,6.5994418154213825,16.325111052601358,5.994354126604006,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Amsterdam,2023-03-21,8.0,9.0,15.0,15.0,12.0,6.0,4.0,5.0,9.428571428571429,8.142857142857142,9.107142857142858,4.649628761422531,10.409028608991118,4.23363556073388,4.111094611061495,9.282521450337434,4.592898526574424,6.361570302965826,8.839791494360338,5.139741724440706,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Wien,2023-03-21,8.0,16.0,16.0,10.0,9.0,8.0,4.0,6.0,9.857142857142858,8.928571428571429,12.071428571428571,4.634241089562611,11.593663324483387,4.955893115271648,4.51432396701,10.826868566373873,6.00038773556041,8.277271743348015,11.149337644161147,7.130817234440845,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
San Francisco,2023-03-21,8.3,8.3,23.0,27.6,14.9,16.9,9.6,5.8,15.157142857142857,12.335714285714285,12.132142857142856,8.009339786119934,15.267388259977569,8.16676029727513,6.602051795622925,13.937096217871904,7.378392731548748,5.66327045753002,13.218442442689923,7.136840572367759,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Tampa,2023-03-21,8.4,4.5,8.9,7.1,7.7,7.8,6.9,4.9,6.828571428571428,7.985714285714287,9.160714285714286,1.5923926292577124,7.123840658067945,2.055960727823616,1.7853494132725198,7.876752265622832,2.261729918049742,2.632466704895041,8.521078384605536,2.465276764421473,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Madrid,2023-03-21,9.0,7.0,5.0,3.0,7.0,9.0,8.0,6.0,6.428571428571429,6.142857142857143,9.071428571428571,1.9880595947760156,6.312200171990151,2.2116752091591674,2.248320496491786,6.886547787098746,2.9899500114616444,5.429197958832454,7.6946924431377015,4.0112324630807965,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
München,2023-03-21,9.0,7.0,12.0,12.0,11.0,8.0,5.0,3.0,8.285714285714286,7.357142857142857,12.035714285714286,3.545621041711672,8.878851603563348,3.936049170327449,3.7335720750456223,9.315320753874053,6.0100003943333995,8.302084266893656,10.382697655403216,7.412151583649876,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Houston,2023-03-21,9.6,9.9,8.9,6.1,11.2,11.0,13.5,8.3,9.842857142857143,10.828571428571427,10.928571428571429,2.3747681591102308,9.805493226537527,2.375827802145634,2.722393904531189,10.418687077614624,2.6203778571725884,2.6209776438428114,10.815669575835015,2.7152758786190665,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Los Angeles,2023-03-21,10.0,27.9,59.0,29.4,31.2,15.8,9.7,22.3,27.9,26.45,23.125,15.755210778236727,31.169762865013357,16.042721278430943,12.637170447654688,27.79680096984779,14.43520524089187,12.594196929391579,25.72346386787694,13.361387794441614,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Sevilla,2023-03-21,10.0,8.0,6.0,4.0,7.0,9.0,8.0,5.0,6.714285714285714,6.571428571428571,8.392857142857142,1.7994708216848798,6.876881193294773,1.912871494373797,2.064881658530638,7.227275920498748,2.546070581935537,3.7548909903226675,7.741952780558845,3.172493738492954,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Gdansk,2023-03-21,11.0,25.0,40.0,26.0,23.0,10.0,7.0,9.0,20.0,15.857142857142858,12.607142857142858,11.972189997378646,22.96477371038868,11.560495026303832,9.952635080969516,18.283096177203568,11.283386782668783,8.59086200872241,15.203310359959769,10.245873868673064,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Marseille,2023-03-21,11.0,6.0,7.0,11.0,6.0,6.0,3.0,4.0,6.142857142857143,9.142857142857142,15.428571428571429,2.5448360411213704,7.323406620740363,4.621079321676597,6.904370331198197,9.676437561790936,8.357307241659978,10.615950861718074,12.401877602030346,10.082687685116626,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Atlanta,2023-03-21,12.0,7.3,6.6,8.5,14.8,19.8,6.7,9.1,10.4,11.464285714285714,10.082142857142857,5.01265066273989,9.668587744577321,4.513373192468511,4.982370017272001,10.320152553460405,4.54982297614502,3.9606446885837094,10.378627529581033,4.341872778187644,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Chicago,2023-03-21,12.3,8.5,7.0,5.5,8.0,12.7,20.7,4.7,9.585714285714285,9.921428571428573,12.417857142857143,5.5402853631164115,8.949168118664526,4.324446575176509,4.374608302716687,10.264715675936934,5.288518069121304,5.893188382545507,11.41630952722464,5.722076523902533,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Varna,2023-03-21,12.4,16.7,14.0,10.1,5.7,13.4,12.8,7.8,11.5,11.028571428571427,11.146428571428572,3.8270963754087357,12.28957278464233,4.069431405059504,3.6113983167462713,11.615680084283065,3.981974289421858,4.0397544977530995,11.386476800421196,3.9931284442667008,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Salt Lake City,2023-03-21,12.5,14.4,16.9,27.0,20.1,16.0,5.3,17.4,16.728571428571428,17.77142857142857,15.396428571428572,6.50530918704466,17.507893745687774,5.779027908572985,5.901033621510543,17.187548472818467,5.995441308948442,6.657131077265504,16.647562967363474,6.350991582786144,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Denver,2023-03-21,12.6,17.6,11.6,12.4,14.7,6.2,9.4,10.8,11.814285714285715,12.192857142857141,11.546428571428573,3.664436551244302,13.006471155761552,3.6527605662072142,3.0855654726021116,12.27045589278877,3.3743326035034484,3.1506004298836547,11.938148613708062,3.2473251852212854,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
New York,2023-03-21,14.0,11.3,8.7,15.2,26.5,11.1,4.4,5.5,11.814285714285715,11.700000000000001,13.135714285714284,7.4436614134507275,12.544974482857798,6.303425282320099,6.432130882709686,12.44245725112736,6.224175036286917,5.851002717845276,12.55838534803848,6.001163457264894,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Berlin,2023-03-21,20.0,14.0,18.0,13.0,10.0,6.0,6.0,4.0,10.142857142857142,10.285714285714286,10.571428571428571,5.113008619478082,12.005028806938292,4.707992172106979,4.547671786894772,10.85260157524213,4.706291899721597,4.999470871473199,10.512166301079427,4.713262494630828,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Kraków,2023-03-21,32.0,50.0,47.0,30.0,38.0,26.0,13.0,12.0,30.857142857142858,23.214285714285715,24.678571428571427,15.148471555777187,35.02006823162359,15.59289268656592,13.76829452277711,29.230496922045603,16.15629241144669,16.71560276093494,26.499317807913812,16.330409645019806,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Napoli,2023-03-21,33.0,19.0,20.0,20.0,15.0,8.0,10.0,30.0,17.428571428571427,16.071428571428573,17.821428571428573,7.345228447936864,17.661842496561825,5.302145444578794,6.044250742066135,17.10162011923608,6.445780319735488,9.32957690846725,17.117317099944938,7.600078343592042,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Athina,2023-03-21,37.0,24.0,13.0,11.0,8.0,20.0,23.0,11.0,15.714285714285714,14.642857142857142,19.928571428571427,6.473388749701487,16.064934056770763,6.516992280059817,4.82951093012283,16.033819155268066,6.524210066137787,9.087755585803437,17.242825337385916,7.494048443899729,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Milano,2023-03-21,41.0,40.0,31.0,28.0,21.0,11.0,3.0,11.0,20.714285714285715,18.357142857142858,24.0,13.123951205261914,25.56998946909443,12.648990637428573,10.050695673259831,22.252749486109593,12.184415833151675,13.79747695668924,22.331237107974392,12.813123430151071,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336
Tallinn,2023-03-22,2.0,2.0,13.0,7.0,4.0,8.0,2.0,2.0,5.428571428571429,4.071428571428571,3.9642857142857144,4.157609203101501,5.511720258716287,4.496195582445093,3.2454532862093446,4.664847811635395,3.869156485132447,3.458560424749033,4.172898978293199,3.491474764781564,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Stockholm,2023-03-22,4.0,6.0,5.0,10.0,18.0,7.0,11.0,3.0,8.571428571428571,6.142857142857143,5.428571428571429,4.995235825502231,7.544922848485763,4.6335759511995365,4.347539407653358,6.822786664186516,4.4794453090661035,3.4040125715545746,6.0863260132663415,4.0637015214139875,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
London,2023-03-22,5.0,7.0,7.0,5.0,7.0,8.0,6.0,6.0,6.571428571428571,7.357142857142857,7.928571428571429,0.9759000729485396,6.817568672161227,1.342100077604477,1.7805419597217202,7.169923636733478,1.8447736282487568,2.8011713347385316,7.504063364904735,2.2681678498419884,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Paris,2023-03-22,5.0,7.0,11.0,5.0,4.0,9.0,6.0,6.0,6.857142857142857,6.357142857142857,11.535714285714286,2.41029537806546,7.218015219834481,2.9938976629682665,2.060886398434608,7.9758484806566035,5.057576727432252,8.112551513765077,9.642149898324966,7.13462953404274,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Phoenix-Mesa,2023-03-22,5.7,7.6,21.2,12.9,11.7,19.0,9.7,15.6,13.957142857142857,16.014285714285712,15.575,4.921672189699067,13.843379237722553,5.793795973627721,5.920090584397549,15.000583334902496,5.9349079263408395,6.781708787177024,15.6434842470788,6.232132307348821,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Amsterdam,2023-03-22,6.0,8.0,9.0,15.0,15.0,12.0,6.0,4.0,9.857142857142858,8.571428571428571,8.75,4.29839394148448,9.806663885191918,3.835545588830243,3.7151309266562556,9.109149721107935,4.294713529122793,6.119943112783295,8.7741849490505,4.9382067786890165,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Dallas,2023-03-22,7.0,6.1,8.5,6.2,11.0,9.7,7.9,11.7,8.728571428571428,10.52142857142857,11.410714285714283,2.197509412732421,8.357451512949943,2.6198725937412592,3.663789247261861,9.577091089656676,3.2840697353127912,3.709481274080154,10.508076167718901,3.5449199160474865,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Varna,2023-03-22,7.7,12.4,16.7,14.0,10.1,5.7,13.4,12.8,12.157142857142858,10.792857142857143,11.346428571428572,3.4635517140921244,12.31718451944306,3.5244695909267,3.3835494075610297,11.721704743770205,3.712912428241227,3.954320856879653,11.465655687278565,3.8424622639169743,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Marseille,2023-03-22,8.0,11.0,6.0,7.0,11.0,6.0,6.0,3.0,7.142857142857143,8.142857142857142,15.071428571428571,2.9113897843109737,8.242719138306178,4.3556807879702015,5.245615647041228,9.855357227107367,7.784845937690035,10.589752458998142,12.29235952875371,9.684418901610135,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
München,2023-03-22,8.0,9.0,7.0,12.0,12.0,11.0,8.0,5.0,9.142857142857142,7.0,12.035714285714286,2.672612419124242,8.90914411237205,3.4090542691297405,3.258125936084216,9.27269557645756,5.5892299770960685,8.302084266893656,10.274677966006253,7.123869863023137,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Tampa,2023-03-22,8.1,8.4,4.5,8.9,7.1,7.7,7.8,6.9,7.328571428571428,7.992857142857142,9.210714285714287,1.4267845968170145,7.442937478528123,1.8778432562514284,1.7869029011174562,7.9474850900138145,2.111157041694173,2.6030380093857413,8.511619447977802,2.3662593262744887,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
San Francisco,2023-03-22,8.7,8.3,8.3,23.0,27.6,14.9,16.9,9.6,15.514285714285714,12.214285714285714,11.532142857142857,7.5660268242163795,13.525230076733404,7.7871056913117185,6.663662326708608,13.175071443262182,7.146669393895302,5.100475908908354,12.834201807797633,6.981442605459924,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
Albuquerque,2023-03-22,8.8,7.3,11.5,11.8,9.8,6.0,1.7,5.9,7.714285714285714,7.25,7.332142857142857,3.604362436191535,8.466556900740843,3.078641312387544,2.943506543092909,7.892516975598058,2.994052134756495,2.5921610563001174,7.66573441875218,2.853673770890762,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434
